ddd,Player,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,Average,L4,L8,StdDev
RB,Ahmad Bradshaw,X,X,X,X,X,2.6,2.3,3.1,8.1,X,21.2,5.6,X,X,X,X,X,7.15,0.00,13.40,7.23
RB,Jonathan Grimes,4,10.7,7.8,X,X,X,X,3.2,X,5.5,9.5,4.3,8.3,8.2,0.1,2.5,21.4,7.13,8.05,7.48,5.49
RB,Chris Thompson,1.1,2,22.6,9.7,10.8,9.8,X,X,4.1,8.7,4.7,2.6,6.4,X,X,8.2,1.9,7.12,5.05,5.42,5.75
RB,Cameron Artis-Payne,X,X,0.6,2.5,X,X,X,X,X,X,X,X,X,X,11.3,6.6,14.1,7.02,10.67,10.67,5.71
RB,Brandon Bolden,2.3,1.3,X,X,X,X,X,X,12.9,X,1.5,19.5,3.4,5.1,7.4,11,5.6,7.00,7.28,7.64,5.87
RB,Steven Jackson,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,1.5,12.5,7.00,7.00,7.00,7.78
RB,Alfred Morris,15.1,9.2,1.9,8.5,1.5,4.2,1.7,X,1,13.6,X,10,1.2,8.4,8.4,4.9,13,6.84,8.68,8.50,4.86
RB,Bishop Sankey,22.6,4.2,6.1,X,7.3,3,X,X,X,0.7,X,X,X,X,5.3,8.4,1.6,6.58,5.10,4.00,6.52
RB,Kyle Juszczyk,5.7,2.1,3.1,1.3,12.1,4.2,11.5,4.9,X,9.7,4.3,3.8,0.8,X,13.6,10.5,9.8,6.49,11.30,7.50,4.27
RB,C.J. Spiller,X,3.6,4.6,21.9,3.2,6.7,10.8,11.6,2,5.4,X,2.6,1,3.9,3.8,X,X,6.24,3.85,3.34,5.66
RB,Lorenzo Taliaferro,X,13.6,1.6,3.4,X,X,X,X,X,X,X,X,X,X,X,X,X,6.20,0.00,0.00,6.47
RB,Duke Williams,X,X,X,X,X,X,X,X,X,6,X,X,X,X,X,X,X,6.00,0.00,6.00,#DIV/0!
RB,Marcus Murphy,X,X,6,X,X,X,X,X,X,X,X,X,X,X,X,X,X,6.00,0.00,0.00,#DIV/0!
RB,Pierre Thomas,X,X,X,X,X,X,X,X,1.2,X,X,X,X,2.2,X,15.9,4.5,5.95,7.53,7.53,6.78
RB,Branden Oliver,3.1,0.2,2.6,X,X,10.3,13.4,5.4,X,X,X,X,X,X,X,X,X,5.83,0.00,0.00,5.04
RB,Denard Robinson,6.5,0.9,X,X,X,6.8,X,X,0.2,0.1,2.7,4.2,3.3,15.7,15.4,12.1,-0.1,5.65,10.78,6.68,5.82
RB,Ka'Deem Carey,X,X,X,X,X,X,X,X,2.8,4.6,3.2,X,7.7,X,3.8,14.7,1,5.40,6.50,5.83,4.58
RB,Jonas Gray,X,X,4.9,X,X,4.6,6.8,9.1,X,X,X,X,X,X,X,3.1,3.7,5.37,3.40,3.40,2.22
RB,Fred Jackson,3.9,8.6,4.2,7.4,6.4,2.7,7.5,1.9,X,X,4.2,3.1,9.8,3.3,3.7,10.4,1.6,5.25,4.75,5.16,2.87
RB,Marcel Reece,17.6,2.6,6.6,3.6,18.5,X,4.5,5.6,2.1,1,0.2,1.7,5.3,0.2,6.7,2.3,X,5.23,3.07,2.49,5.62
RB,Jerick McKinnon,4.8,0.6,1.8,0.6,X,0.2,4.7,1.8,3.1,1.7,3.5,3.3,5.4,1.8,18.6,23.7,7.8,5.21,12.98,8.23,6.60
RB,Mike Tolbert,2.8,5.5,7.4,0.7,X,1,14.8,5,0.7,3.1,9,1.6,13.1,5,1,4.9,7.4,5.19,4.58,5.64,4.30
RB,Zac Stacy,X,X,2.1,10.5,X,8.1,4,2.8,2.9,X,X,X,X,X,X,X,X,5.07,0.00,0.00,3.42
RB,Benny Cunningham,16.2,6.7,5,2.4,4.8,X,4.4,X,X,1.2,3,2.7,X,3.2,0.8,4.4,10.2,5.00,4.65,3.64,4.16
RB,Chris Polk,4.1,6.7,0.5,14,4.2,4.9,3.8,3.2,X,1.4,X,3.7,14.2,6.8,0.6,3.8,0.4,4.82,2.90,4.41,4.26
RB,Will Tukuafu,X,X,X,X,X,X,X,X,X,6.2,X,X,0.4,X,X,X,7.7,4.77,7.70,4.77,3.86
RB,Jay Ajayi,X,X,X,X,X,X,X,X,4.1,4.8,5.6,9.8,3.2,1.5,11.2,2.3,0.2,4.74,3.80,4.83,3.67
RB,Kendall Gaskins,X,X,X,X,X,X,X,4.3,2,X,X,X,X,X,11.2,1.2,X,4.68,6.20,6.20,4.54
RB,Christine Michael,X,X,X,X,0.6,X,3,2,X,0.8,X,X,X,X,8.4,4,13.2,4.57,8.53,6.60,4.63
RB,Kerwynn Williams,X,0.3,X,X,X,X,X,X,X,X,X,X,11.9,0.2,5.6,4.8,X,4.56,3.53,5.63,4.80
RB,Kenjon Barner,X,X,X,X,X,X,X,X,X,X,3.7,4.1,5.6,X,X,0.3,8.9,4.52,4.60,4.52,3.12
RB,Patrick DiMarco,X,2.9,1.4,X,X,3.8,X,1.8,X,X,17.1,X,3.8,3.5,X,X,1.7,4.50,2.60,6.53,5.18
RB,Bryce Brown,X,X,X,X,X,X,X,X,X,X,X,X,X,X,4.3,0.9,8,4.40,4.40,4.40,3.55
RB,Tre Mason,X,5,4.1,X,0.8,X,X,6.2,0.9,4.7,X,10.5,4.3,2.8,1.3,1.6,10.4,4.38,4.03,5.09,3.33
